Log_ID;Log_Date;Log_Level;Log_Source;User;Controller;Action;Log_Message;Exception
10998232;2026-05-08 00:07:07.863;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998231;2026-05-08 00:07:07.863;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998230;2026-05-08 00:07:07.863;ERROR;BizSMS.Helpers.Logger;;queryDevInfo;Login;The controller for path '/queryDevInfo' was not found or does not implement IController.;
10998229;2026-05-08 00:07:04.677;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998228;2026-05-08 00:07:02.280;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998227;2026-05-08 00:06:56.947;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998226;2026-05-08 00:06:33.617;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998225;2026-05-08 00:06:33.610;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998224;2026-05-08 00:06:33.603;ERROR;BizSMS.Helpers.Logger;;ProcessPlus;Login;The controller for path '/ProcessPlus' was not found or does not implement IController.;
10998223;2026-05-08 00:05:37.870;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998222;2026-05-08 00:05:17.180;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998221;2026-05-08 00:05:12.240;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998220;2026-05-08 00:05:12.233;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998219;2026-05-08 00:05:12.230;ERROR;BizSMS.Helpers.Logger;;NmConsole;WugSystemAppSettings;The controller for path '/NmConsole/WugSystemAppSettings/JMXSecurity' was not found or does not implement IController.;
10998218;2026-05-08 00:05:04.090;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998217;2026-05-08 00:04:59.733;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998216;2026-05-08 00:04:59.730;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998215;2026-05-08 00:04:59.727;ERROR;BizSMS.Helpers.Logger;;interface-data;books-init;The controller for path '/interface-data/books-init' was not found or does not implement IController.;
10998214;2026-05-08 00:04:47.943;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998213;2026-05-08 00:04:47.943;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998212;2026-05-08 00:04:47.940;ERROR;BizSMS.Helpers.Logger;;interface-data;books-init;The controller for path '/interface-data/books-init' was not found or does not implement IController.;
10998211;2026-05-08 00:04:39.227;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998210;2026-05-08 00:04:30.877;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998209;2026-05-08 00:04:23.983;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998208;2026-05-08 00:04:23.980;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998207;2026-05-08 00:04:23.977;ERROR;BizSMS.Helpers.Logger;;tracking;client_1;The controller for path '/tracking/client_1/get-resource' was not found or does not implement IController.;
10998206;2026-05-08 00:03:41.513;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998205;2026-05-08 00:03:31.693;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
